location,city,state,startmonth,finishmonth,startdate,finishdate,year,lat,lon,tournament_link
sam rayburn reservoir,jasper,texas,February,February,23,25,1994,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/texas-invitational-9
lake texoma,durant,oklahoma,November,November,10,12,1993,33.9924186,-96.39712329999999,https://www.bassmaster.com/tournaments/1993-1994-oklahoma-invitational
buggs island reservoir,south hill,virginia,May,May,5,7,1993,36.726532,-78.1288857,https://www.bassmaster.com/tournaments/1993-virginia-invitational
oneida lake,syracuse,new york,June,July,29,1,2017,43.0481221,-76.14742439999999,https://www.bassmaster.com/tournaments/2017-bass-pro-shops-northern-open-1
st. johns river,palatka,florida,January,January,17,19,2008,29.6485801,-81.6375819,https://www.bassmaster.com/tournaments/2008-southern-open-1
lake champlain,plattsburgh,new york,September,September,21,23,2016,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/2016-bass-pro-shops-northern-open-3
lake yale,tavares,florida,October,November,31,2,2009,28.8041579,-81.725632,https://www.bassmaster.com/tournaments/2009-junior-world-championship-15-18
toledo bend reservoir,many,louisiana,February,February,20,22,2019,31.5687848,-93.4840645,https://www.bassmaster.com/tournaments/2019-bass-pro-shops-bassmaster-central-open-toledo-bend
smith lake,jasper,alabama,April,April,25,27,2019,33.8312185,-87.2775053,https://www.bassmaster.com/tournaments/2019-bass-pro-shops-central-open-smith-lake
cayuga lake,seneca falls,new york,June,June,25,25,2006,42.9106219,-76.7966215,https://www.bassmaster.com/tournaments/adirondack-1-seneca-falls-bo
lake tohopekaliga,kissimmee,florida,January,January,23,25,2014,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2014-bass-pro-shops-southern-open-1-presented-allstate
grand lake,afton,oklahoma,November,November,6,8,1991,36.693687,-94.9630171,https://www.bassmaster.com/tournaments/1991-oklahoma-invitational
oneida lake,syracuse,new york,September,September,15,17,2005,43.0481221,-76.14742439999999,https://www.bassmaster.com/tournaments/2005-northern-open-3
potomac river,charles county,maryland,August,August,26,29,1998,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/1998-maryland-bassmaster-top-150
lake gaston,south hill,virginia,October,October,16,18,1997,36.726532,-78.1288857,https://www.bassmaster.com/tournaments/virginia-top-100-pro-0
lake champlain,burlington,vermont,September,September,11,13,1997,44.4758825,-73.21207199999999,https://www.bassmaster.com/tournaments/1997-vermont-bassmaster-top-100
